asset_id,asset_type,room_id,room_name,category,tier,component_id,component_name,component_kind,state_key,priority,prompt
ablative_armour_t3__nano_repair_node_array__usage_0_24,state_variant,ablative_armour_t3,Ablative Armour Module,hull,3,nano_repair_node_array,Nano-Repair Node Array,interactive,usage_0_24,p2,"Using the attached style reference and matching the base component exactly, create state variant 'usage_0_24' for component 'Nano-Repair Node Array' in 'Ablative Armour Module'. Change only state cues: clean surfaces, low heat bloom, minimal wear. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
ablative_armour_t3__nano_repair_node_array__usage_100,state_variant,ablative_armour_t3,Ablative Armour Module,hull,3,nano_repair_node_array,Nano-Repair Node Array,interactive,usage_100,p2,"Using the attached style reference and matching the base component exactly, create state variant 'usage_100' for component 'Nano-Repair Node Array' in 'Ablative Armour Module'. Change only state cues: near-failure/depleted look, severe wear, emergency warning cues. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
ablative_armour_t3__nano_repair_node_array__usage_25_49,state_variant,ablative_armour_t3,Ablative Armour Module,hull,3,nano_repair_node_array,Nano-Repair Node Array,interactive,usage_25_49,p2,"Using the attached style reference and matching the base component exactly, create state variant 'usage_25_49' for component 'Nano-Repair Node Array' in 'Ablative Armour Module'. Change only state cues: mild scorch marks and minor scratches, slightly warmer highlights. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
ablative_armour_t3__nano_repair_node_array__usage_50_74,state_variant,ablative_armour_t3,Ablative Armour Module,hull,3,nano_repair_node_array,Nano-Repair Node Array,interactive,usage_50_74,p2,"Using the attached style reference and matching the base component exactly, create state variant 'usage_50_74' for component 'Nano-Repair Node Array' in 'Ablative Armour Module'. Change only state cues: moderate wear, heat bloom, visible scratches and warning tint. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
ablative_armour_t3__nano_repair_node_array__usage_75_99,state_variant,ablative_armour_t3,Ablative Armour Module,hull,3,nano_repair_node_array,Nano-Repair Node Array,interactive,usage_75_99,p2,"Using the attached style reference and matching the base component exactly, create state variant 'usage_75_99' for component 'Nano-Repair Node Array' in 'Ablative Armour Module'. Change only state cues: heavy wear, strong warning glow, soot/scuffs and stressed materials. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_hull_t1__damage_indicator_strip__usage_0_24,state_variant,basic_hull_t1,Basic Hull Plating Module,hull,1,damage_indicator_strip,Damage Indicator Strip,interactive,usage_0_24,p2,"Using the attached style reference and matching the base component exactly, create state variant 'usage_0_24' for component 'Damage Indicator Strip' in 'Basic Hull Plating Module'. Change only state cues: clean surfaces, low heat bloom, minimal wear. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_hull_t1__damage_indicator_strip__usage_100,state_variant,basic_hull_t1,Basic Hull Plating Module,hull,1,damage_indicator_strip,Damage Indicator Strip,interactive,usage_100,p2,"Using the attached style reference and matching the base component exactly, create state variant 'usage_100' for component 'Damage Indicator Strip' in 'Basic Hull Plating Module'. Change only state cues: near-failure/depleted look, severe wear, emergency warning cues. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_hull_t1__damage_indicator_strip__usage_25_49,state_variant,basic_hull_t1,Basic Hull Plating Module,hull,1,damage_indicator_strip,Damage Indicator Strip,interactive,usage_25_49,p2,"Using the attached style reference and matching the base component exactly, create state variant 'usage_25_49' for component 'Damage Indicator Strip' in 'Basic Hull Plating Module'. Change only state cues: mild scorch marks and minor scratches, slightly warmer highlights. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_hull_t1__damage_indicator_strip__usage_50_74,state_variant,basic_hull_t1,Basic Hull Plating Module,hull,1,damage_indicator_strip,Damage Indicator Strip,interactive,usage_50_74,p2,"Using the attached style reference and matching the base component exactly, create state variant 'usage_50_74' for component 'Damage Indicator Strip' in 'Basic Hull Plating Module'. Change only state cues: moderate wear, heat bloom, visible scratches and warning tint. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_hull_t1__damage_indicator_strip__usage_75_99,state_variant,basic_hull_t1,Basic Hull Plating Module,hull,1,damage_indicator_strip,Damage Indicator Strip,interactive,usage_75_99,p2,"Using the attached style reference and matching the base component exactly, create state variant 'usage_75_99' for component 'Damage Indicator Strip' in 'Basic Hull Plating Module'. Change only state cues: heavy wear, strong warning glow, soot/scuffs and stressed materials. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_nav_t1__manual_flight_controls__usage_0_24,state_variant,basic_nav_t1,Basic Navigation Room,navigation,1,manual_flight_controls,Manual Flight Controls,interactive,usage_0_24,p2,"Using the attached style reference and matching the base component exactly, create state variant 'usage_0_24' for component 'Manual Flight Controls' in 'Basic Navigation Room'. Change only state cues: clean surfaces, low heat bloom, minimal wear. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_nav_t1__manual_flight_controls__usage_100,state_variant,basic_nav_t1,Basic Navigation Room,navigation,1,manual_flight_controls,Manual Flight Controls,interactive,usage_100,p2,"Using the attached style reference and matching the base component exactly, create state variant 'usage_100' for component 'Manual Flight Controls' in 'Basic Navigation Room'. Change only state cues: near-failure/depleted look, severe wear, emergency warning cues. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_nav_t1__manual_flight_controls__usage_25_49,state_variant,basic_nav_t1,Basic Navigation Room,navigation,1,manual_flight_controls,Manual Flight Controls,interactive,usage_25_49,p2,"Using the attached style reference and matching the base component exactly, create state variant 'usage_25_49' for component 'Manual Flight Controls' in 'Basic Navigation Room'. Change only state cues: mild scorch marks and minor scratches, slightly warmer highlights. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_nav_t1__manual_flight_controls__usage_50_74,state_variant,basic_nav_t1,Basic Navigation Room,navigation,1,manual_flight_controls,Manual Flight Controls,interactive,usage_50_74,p2,"Using the attached style reference and matching the base component exactly, create state variant 'usage_50_74' for component 'Manual Flight Controls' in 'Basic Navigation Room'. Change only state cues: moderate wear, heat bloom, visible scratches and warning tint. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_nav_t1__manual_flight_controls__usage_75_99,state_variant,basic_nav_t1,Basic Navigation Room,navigation,1,manual_flight_controls,Manual Flight Controls,interactive,usage_75_99,p2,"Using the attached style reference and matching the base component exactly, create state variant 'usage_75_99' for component 'Manual Flight Controls' in 'Basic Navigation Room'. Change only state cues: heavy wear, strong warning glow, soot/scuffs and stressed materials. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__rocket_nozzle_assembly__usage_0_24,state_variant,basic_thruster_t1,Basic Thruster Room,propulsion,1,rocket_nozzle_assembly,Rocket Nozzle Assembly,interactive,usage_0_24,p2,"Using the attached style reference and matching the base component exactly, create state variant 'usage_0_24' for component 'Rocket Nozzle Assembly' in 'Basic Thruster Room'. Change only state cues: clean surfaces, low heat bloom, minimal wear. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__rocket_nozzle_assembly__usage_100,state_variant,basic_thruster_t1,Basic Thruster Room,propulsion,1,rocket_nozzle_assembly,Rocket Nozzle Assembly,interactive,usage_100,p2,"Using the attached style reference and matching the base component exactly, create state variant 'usage_100' for component 'Rocket Nozzle Assembly' in 'Basic Thruster Room'. Change only state cues: near-failure/depleted look, severe wear, emergency warning cues. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
