asset_id,packet,status,image_file,json_file,qa_pass,notes
ablative_armour_t3__nano_repair_node_array__usage_0_24,packet_01.json,todo,ablative_armour_t3__nano_repair_node_array__usage_0_24.png,ablative_armour_t3__nano_repair_node_array__usage_0_24.json,no,
ablative_armour_t3__nano_repair_node_array__usage_100,packet_01.json,todo,ablative_armour_t3__nano_repair_node_array__usage_100.png,ablative_armour_t3__nano_repair_node_array__usage_100.json,no,
ablative_armour_t3__nano_repair_node_array__usage_25_49,packet_01.json,todo,ablative_armour_t3__nano_repair_node_array__usage_25_49.png,ablative_armour_t3__nano_repair_node_array__usage_25_49.json,no,
ablative_armour_t3__nano_repair_node_array__usage_50_74,packet_01.json,todo,ablative_armour_t3__nano_repair_node_array__usage_50_74.png,ablative_armour_t3__nano_repair_node_array__usage_50_74.json,no,
ablative_armour_t3__nano_repair_node_array__usage_75_99,packet_01.json,todo,ablative_armour_t3__nano_repair_node_array__usage_75_99.png,ablative_armour_t3__nano_repair_node_array__usage_75_99.json,no,
basic_hull_t1__damage_indicator_strip__usage_0_24,packet_01.json,todo,basic_hull_t1__damage_indicator_strip__usage_0_24.png,basic_hull_t1__damage_indicator_strip__usage_0_24.json,no,
basic_hull_t1__damage_indicator_strip__usage_100,packet_01.json,todo,basic_hull_t1__damage_indicator_strip__usage_100.png,basic_hull_t1__damage_indicator_strip__usage_100.json,no,
basic_hull_t1__damage_indicator_strip__usage_25_49,packet_01.json,todo,basic_hull_t1__damage_indicator_strip__usage_25_49.png,basic_hull_t1__damage_indicator_strip__usage_25_49.json,no,
basic_hull_t1__damage_indicator_strip__usage_50_74,packet_01.json,todo,basic_hull_t1__damage_indicator_strip__usage_50_74.png,basic_hull_t1__damage_indicator_strip__usage_50_74.json,no,
basic_hull_t1__damage_indicator_strip__usage_75_99,packet_01.json,todo,basic_hull_t1__damage_indicator_strip__usage_75_99.png,basic_hull_t1__damage_indicator_strip__usage_75_99.json,no,
basic_nav_t1__manual_flight_controls__usage_0_24,packet_01.json,todo,basic_nav_t1__manual_flight_controls__usage_0_24.png,basic_nav_t1__manual_flight_controls__usage_0_24.json,no,
basic_nav_t1__manual_flight_controls__usage_100,packet_01.json,todo,basic_nav_t1__manual_flight_controls__usage_100.png,basic_nav_t1__manual_flight_controls__usage_100.json,no,
basic_nav_t1__manual_flight_controls__usage_25_49,packet_02.json,todo,basic_nav_t1__manual_flight_controls__usage_25_49.png,basic_nav_t1__manual_flight_controls__usage_25_49.json,no,
basic_nav_t1__manual_flight_controls__usage_50_74,packet_02.json,todo,basic_nav_t1__manual_flight_controls__usage_50_74.png,basic_nav_t1__manual_flight_controls__usage_50_74.json,no,
basic_nav_t1__manual_flight_controls__usage_75_99,packet_02.json,todo,basic_nav_t1__manual_flight_controls__usage_75_99.png,basic_nav_t1__manual_flight_controls__usage_75_99.json,no,
basic_thruster_t1__rocket_nozzle_assembly__usage_0_24,packet_02.json,todo,basic_thruster_t1__rocket_nozzle_assembly__usage_0_24.png,basic_thruster_t1__rocket_nozzle_assembly__usage_0_24.json,no,
basic_thruster_t1__rocket_nozzle_assembly__usage_100,packet_02.json,todo,basic_thruster_t1__rocket_nozzle_assembly__usage_100.png,basic_thruster_t1__rocket_nozzle_assembly__usage_100.json,no,
basic_thruster_t1__rocket_nozzle_assembly__usage_25_49,packet_02.json,todo,basic_thruster_t1__rocket_nozzle_assembly__usage_25_49.png,basic_thruster_t1__rocket_nozzle_assembly__usage_25_49.json,no,
basic_thruster_t1__rocket_nozzle_assembly__usage_50_74,packet_02.json,todo,basic_thruster_t1__rocket_nozzle_assembly__usage_50_74.png,basic_thruster_t1__rocket_nozzle_assembly__usage_50_74.json,no,
basic_thruster_t1__rocket_nozzle_assembly__usage_75_99,packet_02.json,todo,basic_thruster_t1__rocket_nozzle_assembly__usage_75_99.png,basic_thruster_t1__rocket_nozzle_assembly__usage_75_99.json,no,
broadcast_array_t2__directional_control_joystick__usage_0_24,packet_02.json,todo,broadcast_array_t2__directional_control_joystick__usage_0_24.png,broadcast_array_t2__directional_control_joystick__usage_0_24.json,no,
broadcast_array_t2__directional_control_joystick__usage_100,packet_02.json,todo,broadcast_array_t2__directional_control_joystick__usage_100.png,broadcast_array_t2__directional_control_joystick__usage_100.json,no,
broadcast_array_t2__directional_control_joystick__usage_25_49,packet_02.json,todo,broadcast_array_t2__directional_control_joystick__usage_25_49.png,broadcast_array_t2__directional_control_joystick__usage_25_49.json,no,
broadcast_array_t2__directional_control_joystick__usage_50_74,packet_02.json,todo,broadcast_array_t2__directional_control_joystick__usage_50_74.png,broadcast_array_t2__directional_control_joystick__usage_50_74.json,no,
