asset_id,asset_type,room_id,room_name,category,tier,component_id,component_name,component_kind,state_key,priority,prompt
style_anchor_v1,style_anchor,global,Global Style Anchor,global,n/a,style_anchor,Style Anchor,reference,base,p0,"Side-view cross-section cutaway of a single spacecraft interior room module. Illustrated sci-fi game asset style — clean detailed linework, metallic silver-grey interior walls with visible panel seams and riveted bolts, recessed floor lighting strips, equipment glowing with coloured sci-fi accent lights. Dark background (#0D0B14 deep space purple, near-black). No text, no labels, no UI. The module is a rectangular tile — flat top and bottom edges so it can stack with other modules. Landscape 2:1 ratio. Consistent illustrated style like a mobile space exploration game concept art, similar to how Pixel Starships looks but rendered in a modern illustrated style rather than retro pixel art. Single module only, no rocket exterior visible. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
shell_kit_starter_v1,shell_kit,global,Global Shell Kit (starter),global,n/a,shell_starter,Room Shell starter,structural,base,p0,"Using the attached style reference, create an empty spacecraft interior room shell component variant 'starter' with metallic panel seams, floor light strips, and stackable flat top/bottom module edges. No major equipment. 2:1 side-view cross-section. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
shell_kit_mid_v1,shell_kit,global,Global Shell Kit (mid),global,n/a,shell_mid,Room Shell mid,structural,base,p0,"Using the attached style reference, create an empty spacecraft interior room shell component variant 'mid' with metallic panel seams, floor light strips, and stackable flat top/bottom module edges. No major equipment. 2:1 side-view cross-section. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
shell_kit_high_v1,shell_kit,global,Global Shell Kit (high),global,n/a,shell_high,Room Shell high,structural,base,p0,"Using the attached style reference, create an empty spacecraft interior room shell component variant 'high' with metallic panel seams, floor light strips, and stackable flat top/bottom module edges. No major equipment. 2:1 side-view cross-section. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__right_wall_nozzle_mount__base,component,basic_thruster_t1,Basic Thruster Room,propulsion,1,right_wall_nozzle_mount,right wall nozzle mount,structural,base,p1,"Using the attached style reference, create a single isolated room component sprite for a spacecraft dollhouse interior system. Component: right_wall_nozzle_mount. Category: Basic Thruster Room. Side-view cross-section, clean cutout silhouette, no text, no labels, no UI, no characters. Designed for 2:1 room tile composition. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__fuel_pipe_network__base,component,basic_thruster_t1,Basic Thruster Room,propulsion,1,fuel_pipe_network,fuel pipe network,structural,base,p1,"Using the attached style reference, create a single isolated room component sprite for a spacecraft dollhouse interior system. Component: fuel_pipe_network. Category: Basic Thruster Room. Side-view cross-section, clean cutout silhouette, no text, no labels, no UI, no characters. Designed for 2:1 room tile composition. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__worn_metal_paneling__base,component,basic_thruster_t1,Basic Thruster Room,propulsion,1,worn_metal_paneling,worn metal paneling,structural,base,p1,"Using the attached style reference, create a single isolated room component sprite for a spacecraft dollhouse interior system. Component: worn_metal_paneling. Category: Basic Thruster Room. Side-view cross-section, clean cutout silhouette, no text, no labels, no UI, no characters. Designed for 2:1 room tile composition. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__rocket_nozzle_assembly__base,component,basic_thruster_t1,Basic Thruster Room,propulsion,1,rocket_nozzle_assembly,Rocket Nozzle Assembly,interactive,base,p0,"Using the attached style reference, create a single isolated room component sprite for a spacecraft dollhouse interior system. Component: Rocket Nozzle Assembly. Category: Basic Thruster Room. Side-view cross-section, clean cutout silhouette, no text, no labels, no UI, no characters. Designed for 2:1 room tile composition. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__rocket_nozzle_assembly__idle,state_variant,basic_thruster_t1,Basic Thruster Room,propulsion,1,rocket_nozzle_assembly,Rocket Nozzle Assembly,interactive,idle,p1,"Using the attached style reference and matching the base component exactly, create state variant 'idle' for component 'Rocket Nozzle Assembly' in 'Basic Thruster Room'. Change only state cues: stable indicator lights, neutral glow, no motion cues. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__rocket_nozzle_assembly__active,state_variant,basic_thruster_t1,Basic Thruster Room,propulsion,1,rocket_nozzle_assembly,Rocket Nozzle Assembly,interactive,active,p1,"Using the attached style reference and matching the base component exactly, create state variant 'active' for component 'Rocket Nozzle Assembly' in 'Basic Thruster Room'. Change only state cues: brighter active glow, subtle motion/energy cues, engaged indicators. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__rocket_nozzle_assembly__cooldown,state_variant,basic_thruster_t1,Basic Thruster Room,propulsion,1,rocket_nozzle_assembly,Rocket Nozzle Assembly,interactive,cooldown,p1,"Using the attached style reference and matching the base component exactly, create state variant 'cooldown' for component 'Rocket Nozzle Assembly' in 'Basic Thruster Room'. Change only state cues: reduced glow with cooling/venting cues and amber warning flicker. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__rocket_nozzle_assembly__damaged,state_variant,basic_thruster_t1,Basic Thruster Room,propulsion,1,rocket_nozzle_assembly,Rocket Nozzle Assembly,interactive,damaged,p1,"Using the attached style reference and matching the base component exactly, create state variant 'damaged' for component 'Rocket Nozzle Assembly' in 'Basic Thruster Room'. Change only state cues: visible wear, sparks or cracks, warning lights and degraded output. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__rocket_nozzle_assembly__depleted,state_variant,basic_thruster_t1,Basic Thruster Room,propulsion,1,rocket_nozzle_assembly,Rocket Nozzle Assembly,interactive,depleted,p1,"Using the attached style reference and matching the base component exactly, create state variant 'depleted' for component 'Rocket Nozzle Assembly' in 'Basic Thruster Room'. Change only state cues: minimal or no glow, offline indicators, depleted resource cues. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__rocket_nozzle_assembly__usage_0_24,state_variant,basic_thruster_t1,Basic Thruster Room,propulsion,1,rocket_nozzle_assembly,Rocket Nozzle Assembly,interactive,usage_0_24,p2,"Using the attached style reference and matching the base component exactly, create state variant 'usage_0_24' for component 'Rocket Nozzle Assembly' in 'Basic Thruster Room'. Change only state cues: clean surfaces, low heat bloom, minimal wear. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
