asset_id,packet,status,image_file,json_file,qa_pass,notes
basic_hull_t1__damage_indicator_strip__base,packet_01.json,todo,basic_hull_t1__damage_indicator_strip__base.png,basic_hull_t1__damage_indicator_strip__base.json,no,
basic_hull_t1__inspection_access_panel__base,packet_01.json,todo,basic_hull_t1__inspection_access_panel__base.png,basic_hull_t1__inspection_access_panel__base.json,no,
basic_hull_t1__layered_armour_wall__base,packet_01.json,todo,basic_hull_t1__layered_armour_wall__base.png,basic_hull_t1__layered_armour_wall__base.json,no,
basic_hull_t1__reinforcement_struts__base,packet_01.json,todo,basic_hull_t1__reinforcement_struts__base.png,basic_hull_t1__reinforcement_struts__base.json,no,
basic_hull_t1__damage_indicator_strip__active,packet_01.json,todo,basic_hull_t1__damage_indicator_strip__active.png,basic_hull_t1__damage_indicator_strip__active.json,no,
basic_hull_t1__damage_indicator_strip__cooldown,packet_01.json,todo,basic_hull_t1__damage_indicator_strip__cooldown.png,basic_hull_t1__damage_indicator_strip__cooldown.json,no,
basic_hull_t1__damage_indicator_strip__damaged,packet_01.json,todo,basic_hull_t1__damage_indicator_strip__damaged.png,basic_hull_t1__damage_indicator_strip__damaged.json,no,
basic_hull_t1__damage_indicator_strip__depleted,packet_01.json,todo,basic_hull_t1__damage_indicator_strip__depleted.png,basic_hull_t1__damage_indicator_strip__depleted.json,no,
basic_hull_t1__damage_indicator_strip__idle,packet_01.json,todo,basic_hull_t1__damage_indicator_strip__idle.png,basic_hull_t1__damage_indicator_strip__idle.json,no,
basic_hull_t1__inspection_access_panel__active,packet_01.json,todo,basic_hull_t1__inspection_access_panel__active.png,basic_hull_t1__inspection_access_panel__active.json,no,
basic_hull_t1__inspection_access_panel__cooldown,packet_01.json,todo,basic_hull_t1__inspection_access_panel__cooldown.png,basic_hull_t1__inspection_access_panel__cooldown.json,no,
basic_hull_t1__inspection_access_panel__damaged,packet_01.json,todo,basic_hull_t1__inspection_access_panel__damaged.png,basic_hull_t1__inspection_access_panel__damaged.json,no,
basic_hull_t1__inspection_access_panel__depleted,packet_02.json,todo,basic_hull_t1__inspection_access_panel__depleted.png,basic_hull_t1__inspection_access_panel__depleted.json,no,
basic_hull_t1__inspection_access_panel__idle,packet_02.json,todo,basic_hull_t1__inspection_access_panel__idle.png,basic_hull_t1__inspection_access_panel__idle.json,no,
basic_hull_t1__room_composite__v1,packet_02.json,todo,basic_hull_t1__room_composite__v1.png,basic_hull_t1__room_composite__v1.json,no,
basic_nav_t1__holographic_star_map_emitter__base,packet_02.json,todo,basic_nav_t1__holographic_star_map_emitter__base.png,basic_nav_t1__holographic_star_map_emitter__base.json,no,
basic_nav_t1__manual_flight_controls__base,packet_02.json,todo,basic_nav_t1__manual_flight_controls__base.png,basic_nav_t1__manual_flight_controls__base.json,no,
basic_nav_t1__nav_console_station__base,packet_02.json,todo,basic_nav_t1__nav_console_station__base.png,basic_nav_t1__nav_console_station__base.json,no,
basic_nav_t1__radar_sweep_display__base,packet_02.json,todo,basic_nav_t1__radar_sweep_display__base.png,basic_nav_t1__radar_sweep_display__base.json,no,
basic_nav_t1__viewport_frame_right__base,packet_02.json,todo,basic_nav_t1__viewport_frame_right__base.png,basic_nav_t1__viewport_frame_right__base.json,no,
basic_nav_t1__holographic_star_map_emitter__active,packet_02.json,todo,basic_nav_t1__holographic_star_map_emitter__active.png,basic_nav_t1__holographic_star_map_emitter__active.json,no,
basic_nav_t1__holographic_star_map_emitter__cooldown,packet_02.json,todo,basic_nav_t1__holographic_star_map_emitter__cooldown.png,basic_nav_t1__holographic_star_map_emitter__cooldown.json,no,
basic_nav_t1__holographic_star_map_emitter__damaged,packet_02.json,todo,basic_nav_t1__holographic_star_map_emitter__damaged.png,basic_nav_t1__holographic_star_map_emitter__damaged.json,no,
basic_nav_t1__holographic_star_map_emitter__depleted,packet_02.json,todo,basic_nav_t1__holographic_star_map_emitter__depleted.png,basic_nav_t1__holographic_star_map_emitter__depleted.json,no,
basic_nav_t1__holographic_star_map_emitter__idle,packet_03.json,todo,basic_nav_t1__holographic_star_map_emitter__idle.png,basic_nav_t1__holographic_star_map_emitter__idle.json,no,
basic_nav_t1__manual_flight_controls__active,packet_03.json,todo,basic_nav_t1__manual_flight_controls__active.png,basic_nav_t1__manual_flight_controls__active.json,no,
basic_nav_t1__manual_flight_controls__cooldown,packet_03.json,todo,basic_nav_t1__manual_flight_controls__cooldown.png,basic_nav_t1__manual_flight_controls__cooldown.json,no,
