asset_id,asset_type,room_id,room_name,category,tier,component_id,component_name,component_kind,state_key,priority,prompt
ablative_armour_t3__composite_multi_layer_wall__base,component,ablative_armour_t3,Ablative Armour Module,hull,3,composite_multi_layer_wall,composite multi layer wall,structural,base,p1,"Using the attached style reference, create a single isolated room component sprite for a spacecraft dollhouse interior system. Component: composite_multi_layer_wall. Category: Ablative Armour Module. Side-view cross-section, clean cutout silhouette, no text, no labels, no UI, no characters. Designed for 2:1 room tile composition. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
ablative_armour_t3__heat_dissipation_fins__base,component,ablative_armour_t3,Ablative Armour Module,hull,3,heat_dissipation_fins,heat dissipation fins,structural,base,p1,"Using the attached style reference, create a single isolated room component sprite for a spacecraft dollhouse interior system. Component: heat_dissipation_fins. Category: Ablative Armour Module. Side-view cross-section, clean cutout silhouette, no text, no labels, no UI, no characters. Designed for 2:1 room tile composition. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
ablative_armour_t3__nano_repair_node_array__base,component,ablative_armour_t3,Ablative Armour Module,hull,3,nano_repair_node_array,Nano-Repair Node Array,interactive,base,p0,"Using the attached style reference, create a single isolated room component sprite for a spacecraft dollhouse interior system. Component: Nano-Repair Node Array. Category: Ablative Armour Module. Side-view cross-section, clean cutout silhouette, no text, no labels, no UI, no characters. Designed for 2:1 room tile composition. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
ablative_armour_t3__self_diagnostics_panel__base,component,ablative_armour_t3,Ablative Armour Module,hull,3,self_diagnostics_panel,Self-Diagnostics Panel,interactive,base,p0,"Using the attached style reference, create a single isolated room component sprite for a spacecraft dollhouse interior system. Component: Self-Diagnostics Panel. Category: Ablative Armour Module. Side-view cross-section, clean cutout silhouette, no text, no labels, no UI, no characters. Designed for 2:1 room tile composition. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
ablative_armour_t3__nano_repair_node_array__active,state_variant,ablative_armour_t3,Ablative Armour Module,hull,3,nano_repair_node_array,Nano-Repair Node Array,interactive,active,p1,"Using the attached style reference and matching the base component exactly, create state variant 'active' for component 'Nano-Repair Node Array' in 'Ablative Armour Module'. Change only state cues: brighter active glow, subtle motion/energy cues, engaged indicators. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
ablative_armour_t3__nano_repair_node_array__cooldown,state_variant,ablative_armour_t3,Ablative Armour Module,hull,3,nano_repair_node_array,Nano-Repair Node Array,interactive,cooldown,p1,"Using the attached style reference and matching the base component exactly, create state variant 'cooldown' for component 'Nano-Repair Node Array' in 'Ablative Armour Module'. Change only state cues: reduced glow with cooling/venting cues and amber warning flicker. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
ablative_armour_t3__nano_repair_node_array__damaged,state_variant,ablative_armour_t3,Ablative Armour Module,hull,3,nano_repair_node_array,Nano-Repair Node Array,interactive,damaged,p1,"Using the attached style reference and matching the base component exactly, create state variant 'damaged' for component 'Nano-Repair Node Array' in 'Ablative Armour Module'. Change only state cues: visible wear, sparks or cracks, warning lights and degraded output. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
ablative_armour_t3__nano_repair_node_array__depleted,state_variant,ablative_armour_t3,Ablative Armour Module,hull,3,nano_repair_node_array,Nano-Repair Node Array,interactive,depleted,p1,"Using the attached style reference and matching the base component exactly, create state variant 'depleted' for component 'Nano-Repair Node Array' in 'Ablative Armour Module'. Change only state cues: minimal or no glow, offline indicators, depleted resource cues. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
ablative_armour_t3__nano_repair_node_array__idle,state_variant,ablative_armour_t3,Ablative Armour Module,hull,3,nano_repair_node_array,Nano-Repair Node Array,interactive,idle,p1,"Using the attached style reference and matching the base component exactly, create state variant 'idle' for component 'Nano-Repair Node Array' in 'Ablative Armour Module'. Change only state cues: stable indicator lights, neutral glow, no motion cues. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
ablative_armour_t3__self_diagnostics_panel__active,state_variant,ablative_armour_t3,Ablative Armour Module,hull,3,self_diagnostics_panel,Self-Diagnostics Panel,interactive,active,p1,"Using the attached style reference and matching the base component exactly, create state variant 'active' for component 'Self-Diagnostics Panel' in 'Ablative Armour Module'. Change only state cues: brighter active glow, subtle motion/energy cues, engaged indicators. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
ablative_armour_t3__self_diagnostics_panel__cooldown,state_variant,ablative_armour_t3,Ablative Armour Module,hull,3,self_diagnostics_panel,Self-Diagnostics Panel,interactive,cooldown,p1,"Using the attached style reference and matching the base component exactly, create state variant 'cooldown' for component 'Self-Diagnostics Panel' in 'Ablative Armour Module'. Change only state cues: reduced glow with cooling/venting cues and amber warning flicker. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
ablative_armour_t3__self_diagnostics_panel__damaged,state_variant,ablative_armour_t3,Ablative Armour Module,hull,3,self_diagnostics_panel,Self-Diagnostics Panel,interactive,damaged,p1,"Using the attached style reference and matching the base component exactly, create state variant 'damaged' for component 'Self-Diagnostics Panel' in 'Ablative Armour Module'. Change only state cues: visible wear, sparks or cracks, warning lights and degraded output. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
