asset_id,packet,status,image_file,json_file,qa_pass,notes
ablative_armour_t3__composite_multi_layer_wall__base,packet_01.json,todo,ablative_armour_t3__composite_multi_layer_wall__base.png,ablative_armour_t3__composite_multi_layer_wall__base.json,no,
ablative_armour_t3__heat_dissipation_fins__base,packet_01.json,todo,ablative_armour_t3__heat_dissipation_fins__base.png,ablative_armour_t3__heat_dissipation_fins__base.json,no,
ablative_armour_t3__nano_repair_node_array__base,packet_01.json,todo,ablative_armour_t3__nano_repair_node_array__base.png,ablative_armour_t3__nano_repair_node_array__base.json,no,
ablative_armour_t3__self_diagnostics_panel__base,packet_01.json,todo,ablative_armour_t3__self_diagnostics_panel__base.png,ablative_armour_t3__self_diagnostics_panel__base.json,no,
ablative_armour_t3__nano_repair_node_array__active,packet_01.json,todo,ablative_armour_t3__nano_repair_node_array__active.png,ablative_armour_t3__nano_repair_node_array__active.json,no,
ablative_armour_t3__nano_repair_node_array__cooldown,packet_01.json,todo,ablative_armour_t3__nano_repair_node_array__cooldown.png,ablative_armour_t3__nano_repair_node_array__cooldown.json,no,
ablative_armour_t3__nano_repair_node_array__damaged,packet_01.json,todo,ablative_armour_t3__nano_repair_node_array__damaged.png,ablative_armour_t3__nano_repair_node_array__damaged.json,no,
ablative_armour_t3__nano_repair_node_array__depleted,packet_01.json,todo,ablative_armour_t3__nano_repair_node_array__depleted.png,ablative_armour_t3__nano_repair_node_array__depleted.json,no,
ablative_armour_t3__nano_repair_node_array__idle,packet_01.json,todo,ablative_armour_t3__nano_repair_node_array__idle.png,ablative_armour_t3__nano_repair_node_array__idle.json,no,
ablative_armour_t3__self_diagnostics_panel__active,packet_01.json,todo,ablative_armour_t3__self_diagnostics_panel__active.png,ablative_armour_t3__self_diagnostics_panel__active.json,no,
ablative_armour_t3__self_diagnostics_panel__cooldown,packet_01.json,todo,ablative_armour_t3__self_diagnostics_panel__cooldown.png,ablative_armour_t3__self_diagnostics_panel__cooldown.json,no,
ablative_armour_t3__self_diagnostics_panel__damaged,packet_01.json,todo,ablative_armour_t3__self_diagnostics_panel__damaged.png,ablative_armour_t3__self_diagnostics_panel__damaged.json,no,
